reszletjel=reszletkod
A=01
B=02
BA=76
BV=42
C=03
CE=55
CS=51
D=04
E=05
ÉP=71
EY=79
F=06
G=07
H=08
I=09
J=10
K=11
KT=41
L=12
M=13
MV=68
N=14
NY=52
O=15
P=16
PK=57
Q=17
R=18
RA=75
S=19
T=20
TI=53
TN=58
U=21
ÚT=73
ÜK=56
V=22
VA=74
VF=54
VI=77
W=23
X=24
Y=25
Z=26
