01=A
02=B
03=C
04=D
05=E
06=F
07=G
08=H
09=I
10=J
11=K
12=L
13=M
14=N
15=O
16=P
17=Q
18=R
19=S
20=T
21=U
22=V
23=W
24=X
25=Y
26=Z
41=KT
42=BV
51=CS
52=NY
53=TI
54=VF
55=CE
56=ÜK
57=PK
58=TN
68=MV
71=ÉP
73=ÚT
74=VA
75=RA
76=BA
77=VI
79=EY
