id;kod;nev
271;1630;Aszaló
272;1631;Baktakék
273;1632;Beret
274;1633;Csenyéte
275;1634;Csobád
276;1635;Detek
277;1636;Encs
278;1637;Fancsal
279;1638;Felsődobsza
280;1639;Felsőgagy
281;164;Old
282;1640;Felsővadász
283;1641;Forró
284;1643;Gadna
285;1644;Gagyapáti
286;1645;Gagyvendégi
287;1646;Halmaj
288;1647;Hernádkércs
289;1648;Hernádszentandrás
290;1649;Homrogd
291;165;Ózdfalu
292;1650;Ináncs
293;1651;Kány
294;1652;Kázsmárk
295;1653;Keresztéte
296;1654;Kiskinizs
297;1655;Krasznokvajda
298;1656;Kupa
299;1657;Léh
300;1658;Monaj
301;1659;Nagykinizs
302;166;Palkonya
303;1660;Nyésta
304;1661;Pamlény
305;1662;Perecse
306;1663;Rásonysápberencs
307;1664;Selyeb
308;1665;Szászfa
309;1666;Szentistvánbaksa
310;1667;Tomor
311;1668;Abod
312;1669;Balajt
313;167;Páprád
314;1670;Boldva
315;1671;Borsodszirák
316;1672;Damak
317;1673;Gagybátor
318;1674;Galvács
319;1675;Hangács
320;1676;Hegymeg
321;1677;Irota
322;1678;Lak
323;1679;Ládbesenyő
324;168;Pécsbagota
325;1680;Meszes
326;1681;Nyomár
327;1682;Rakaca
328;1683;Rakacaszend
329;1684;Szakácsi
330;1685;Ziliz
331;1686;Alsótelekes
332;1687;Edelény
333;1688;Felsőkelecsény
334;1689;Felsőnyárád
335;169;Piskó
336;1690;Felsőtelekes
337;1691;Izsófalva
338;1692;Jákfalva
339;1693;Kurityán
340;1694;Múcsony
341;1695;Rudabánya
342;1696;Szendrő
343;1697;Szendrőlád
344;1698;Szuhakálló
345;1699;Szuhogy
346;17;Tarrós
347;170;Rádfalva
348;1700;Becskeháza
349;1701;Bódvalenke
350;1702;Bódvarákó
351;1703;Bódvaszilas
352;1704;Debréte
353;1705;Hidvégardó
354;1706;Komjáti
355;1707;Martonyi
356;1708;Szalonna
357;1709;Tornabarakony
358;171;Regenye
359;1710;Tornanádaska
360;1711;Tornaszentandrás
361;1712;Tornaszentjakab
362;1713;Viszló
363;1714;Aggtelek
364;1715;Égerszög
365;1716;Jósvafő
366;1717;Perkupa
367;1718;Szin
368;1719;Szinpetri
369;172;Sámod
370;1720;Szögliget
371;1721;Szőlősardó
372;1722;Teresztenye
373;1723;Tornakápolna
374;1724;Varbóc
375;1725;Alsószuha
376;1726;Gömörszőlős
377;1727;Imola
378;1728;Kánó
379;1729;Ragály
380;173;Siklós
381;1730;Szuhafő
382;1731;Trizs
383;1732;Zádorfalva
384;1733;Zubogy
385;1734;Bánréve
386;1735;Dövény
387;1736;Dubicsány
388;1737;Hét
389;1738;Kelemér
390;1739;Putnok
391;174;Siklósbodony
392;1740;Sajógalgóc
393;1741;Sajókaza
394;1742;Serényfalva
395;1743;Bánhorváti
396;1744;Borsodbóta
397;1745;Kazincbarcika
398;1746;Királd
399;1747;Nagybarca
400;1748;Sajóivánka
401;1749;Sajómercse
402;175;Siklósnagyfalu
403;1750;Sajóvelezd
404;1751;Uppony
405;1752;Vadna
406;1753;Dédestapolcsány
407;1754;Mályinka
408;1755;Nekézseny
409;1756;Sáta
410;1757;Tardona
411;1758;Alacska
412;1759;Kondó
413;176;Szabadszentkirály
414;1760;Parasznya
415;1761;Radostyán
416;1762;Sajóbábony
417;1763;Sajóecseg
418;1764;Sajókápolna
419;1765;Sajókeresztúr
420;1766;Sajólászlófalva
421;1767;Sajószentpéter
422;1768;Varbó
423;1769;Miskolc
424;1770;Bükkszentkereszt
425;1771;Kisgyőr
426;1772;Répáshuta
427;1773;Alsóvadász
428;1774;Alsózsolca
429;1775;Arnót
430;1776;Berzék
431;1777;Bőcs
432;1779;Felsőzsolca
433;178;Szava
434;1780;Gesztely
435;1781;Girincs
436;1782;Hernádkak
437;1783;Hernádnémeti
438;1784;Kesznyéten
439;1785;Kiscsécs
440;1786;Kistokaj
441;1787;Köröm
442;1788;Mályi
443;1789;Muhi
444;179;Szőke
445;1790;Nyékládháza
446;1791;Onga
447;1792;Ónod
448;1793;Sajóhídvég
449;1794;Sajólád
450;1795;Sajópálfala
451;1796;Sajópetri
452;1797;Sajósenye
453;1798;Sajóvámos
454;1799;Szikszó
455;18;Tormás
456;180;Tengeri
457;1800;Szirmabesenyő
458;1801;Ároktő
459;1802;Borsodivánka
460;1803;Egerlövő
461;1804;Gelej
462;1805;Hejőbába
463;1806;Hejőkeresztúr
464;1807;Hejőkürt
465;1808;Hejőpapi
466;1809;Hejőszalonta
467;1810;Igrici
468;1811;Mezőcsát
469;1812;Mezőnagymihály
470;1813;Nagycsécs
471;1814;Nemesbikk
472;1815;Négyes
473;1816;Oszlár
474;1817;Sajóörös
475;1818;Sajószöged
476;1819;Szakáld
477;182;Tésenfa
478;1820;Szentistván
479;1821;Tiszabábolna
480;1822;Tiszadorogma
481;1823;Tiszakeszi
482;1824;Tiszapalkonya
483;1826;Tiszatarján
484;1827;Tiszavalk
485;1828;Borsodgeszt
486;1829;Bükkaranyos
487;183;Téseny
488;1830;Bükkábrány
489;1831;Emőd
490;1832;Harsány
491;1833;Kács
492;1834;Mezőkeresztes
493;1835;Mezőnyárád
494;1836;Sály
495;1837;Tibolddaróc
496;1838;Vatta
497;1839;Bogács
498;184;Túrony
499;1840;Bükkzsérc
500;1841;Cserépfalu
501;1842;Cserépváralja
502;1843;Mezőkövesd
503;1844;Tard
504;1845;Arló
505;1846;Borsodnádasd
506;1847;Borsodszentgyörgy
507;1848;Bükkmogyorósd
508;1849;Csernely
509;185;Vajszló
510;1850;Csokvaomány
511;1852;Járdánháza
512;1853;Lénárddaróc
513;1855;Domaháza
514;1856;Hangony
515;1857;Kissikátor
516;1858;Ózd
517;1859;Sajónémeti
518;186;Vejti
519;1860;Sajópüspöki
520;1864;Szomolya
521;187;Velény
522;188;Villány
523;189;Villánykövesd
524;19;Vásárosdombó
525;190;Aranyosgadány
526;1900;Tiszaújváros
527;1901;Sárospatak
528;1902;Bodrogkisfalud
529;1903;Bózsva
530;1904;Csincse
531;1905;Ormosbánya
532;1906;Rudolftelep
533;1907;Berente
534;191;Áta
535;193;Belvárdgyula
536;194;Birján
537;195;Bogád
538;196;Bosta
539;197;Egerág
540;198;Gyód
541;199;Hásságy
542;2;Baranyajenő
543;20;Vázsnok
544;2000;Ásotthalom
545;2001;Bordány
546;2002;Mórahalom
547;2003;Öttömös
548;2004;Pusztamérges
549;2005;Ruzsa
550;2006;Üllés
551;2007;Zákányszék
552;2008;Baks
553;2009;Balástya
554;201;Keszü
555;2011;Csanytelek
556;2012;Csengele
557;2013;Csongrád
558;2014;Felgyő
559;2015;Forráskút
560;2016;Kistelek
561;2017;Pusztaszer
562;2018;Tömörkény
563;2019;Zsombó
564;202;Kisherend
565;2020;Algyő
566;2021;Dóc
567;2022;Sándorfalva
568;2023;Ópusztaszer
569;2024;Szatymaz
570;2025;Árpádhalom
571;2027;Derekegyház
572;2028;Eperjes
573;2029;Fábiánsebestyén
574;203;Kiskassa
575;2030;Hódmezővásárhely
576;2032;Mártély
577;2033;Mindszent
578;2034;Nagymágocs
579;2035;Nagytőke
580;2036;Szegvár
581;2037;Szentes
582;2038;Székkutas
583;2039;Deszk
584;204;Komló
585;2040;Domaszék
586;2043;Klárafalva
587;2044;Kübekháza
588;2045;Maroslele
589;2046;Röszke
590;2047;Szeged
591;205;Kozármisleny
592;2050;Tiszasziget
593;2051;Újszentiván
594;2052;Ambrózfalva
595;2053;Apátfalva
596;2054;Csanádalberti
597;2055;Csanádpalota
598;2056;Ferencszállás
599;2057;Földeák
600;2058;Királyhegyes
601;2059;Kiszombor
602;206;Kökény
603;2060;Kövegy
604;2061;Magyarcsanád
605;2062;Makó
606;2063;Nagyér
607;2064;Nagylak
608;2065;Óföldeák
609;2066;Pitvaros
610;207;Lothárd
611;208;Magyarhertelend
612;209;Magyarsarlós
613;21;Abaliget
614;210;Magyarszék
615;211;Mecsekpölöske
616;212;Nagykozár
617;214;Olasz
618;215;Oroszló
619;216;Pellérd
620;217;Peterd
621;218;Pécs
622;219;Pécsdevecser
623;22;Bakonya
624;220;Pécsudvard
625;221;Pogány
626;222;Romonya
627;223;Szalánta
628;224;Szemely
629;225;Szilvás
630;226;Szőkéd
631;227;Újpetre
632;228;Vokány
633;229;Apátvarasd
634;230;Babarc
635;231;Berkesd
636;232;Bezedek
637;233;Bóly
638;234;Borjád
639;235;Ellend
640;236;Erdősmárok
641;237;Erdősmecske
642;238;Erzsébet
643;239;Fazekasboda
644;24;Bicsérd
645;240;Feked
646;242;Görcsönydoboka
647;243;Hidas
648;244;Himesháza
649;245;Ivándárda
650;246;Kátoly
651;247;Kékesd
652;248;Kisbudmér
653;249;Kislippó
654;25;Boda
655;250;Kisnyárád
656;2500;Adony
657;2501;Alap
658;2502;Alsószentiván
659;2503;Baracs
660;2504;Beloiannisz
661;2505;Besnyő
662;2506;Cece
663;2507;Dunaújváros
664;2508;Előszállás
665;2509;Ercsi
666;2510;Hantos
667;2511;Iváncsa
668;2512;Kisapostag
669;2513;Mezőfalva
670;2514;Nagykarácsony
671;2515;Nagyvenyim
672;2516;Nagylók
673;2517;Perkáta
674;2518;Pusztaszabolcs
675;2519;Rácalmás
676;252;Lánycsók
677;2520;Ráckeresztúr
678;2521;Sárbogárd
679;2522;Sáregres
680;2523;Sárosd
681;2525;Seregélyes
682;2526;Szabadegyháza
